payment_id,payment_method,payment_status,payment_amount
1059_1,MasterCard,Paid,264.0
1060_1,MasterCard,Pending,1130.0
1061_1,Amex,Paid,380.0
1062_1,Amex,Pending,944.0
1063_1,Discover,Paid,183.0
1064_1,MasterCard,Pending,605.0
1065_1,MasterCard,Pending,202.0
1066_1,Visa,Pending,131.0
1067_1,Cash,Pending,133.0
1068_1,Visa,Pending,422.0
1069_1,Cash,Paid,444.0
1070_1,Amex,Pending,596.0
1071_1,Amex,Paid,247.0
1072_1,Cash,Paid,138.0
1073_1,Cash,Pending,258.0
1074_1,Amex,Pending,936.0
1075_1,MasterCard,Paid,284.0
1076_1,Cash,Paid,400.0
1077_1,MasterCard,Pending,136.0
1078_1,Discover,Pending,417.0
1079_1,Amex,Pending,80.0
1080_1,MasterCard,Paid,71.0
1081_1,Cash,Pending,482.0
1082_1,Discover,Paid,131.0
1083_1,Visa,Paid,325.0
1084_1,Visa,Pending,278.0
1085_1,MasterCard,Paid,130.0
1086_1,MasterCard,Paid,670.0
1087_1,MasterCard,Pending,345.0
1088_1,MasterCard,Paid,80.0
1089_1,Visa,Paid,270.0
1090_1,Visa,Paid,252.0
1091_1,Cash,Pending,258.0
1092_1,MasterCard,Paid,147.0
1093_1,Discover,Paid,564.0
1094_1,Cash,Pending,420.0
1095_1,Amex,Pending,372.0
1096_1,MasterCard,Pending,270.0
1097_1,MasterCard,Pending,355.0
1098_1,Cash,Pending,135.0
1099_1,Cash,Pending,1025.0
1100_1,Cash,Pending,69.0
1101_1,Cash,Pending,580.0
1102_1,Discover,Pending,216.0
1103_1,Discover,Paid,512.0
1104_1,MasterCard,Pending,1240.0
1105_1,MasterCard,Pending,690.0
1106_1,Amex,Paid,532.0
1107_1,Amex,Paid,64.0
1108_1,Visa,Pending,63.0
1109_1,Discover,Paid,126.0
1110_1,Amex,Pending,209.0
1111_1,Cash,Paid,625.0
1112_1,Visa,Pending,290.0
1113_1,Amex,Paid,148.0
1115_1,Amex,Pending,572.0
1116_1,Discover,Paid,129.0
1117_1,Cash,Paid,198.0
1118_1,Visa,Paid,245.0
1119_1,Cash,Paid,276.0
1120_1,Discover,Paid,699.0
1121_1,Visa,Paid,62.0
1122_1,Visa,Paid,69.0
1123_1,Discover,Pending,633.0
1124_1,MasterCard,Pending,244.0
1125_1,Cash,Paid,134.0
1126_1,Cash,Pending,132.0
1127_1,Cash,Paid,450.0
1128_1,MasterCard,Paid,478.0
1129_1,Discover,Pending,280.0
1130_1,Discover,Paid,64.0
1131_1,MasterCard,Paid,330.0
1132_1,Cash,Pending,320.0
1133_1,MasterCard,Pending,223.0
1134_1,MasterCard,Paid,1095.0
1135_1,Cash,Paid,556.0
1136_1,Discover,Pending,138.0
1137_1,Cash,Paid,239.0
1138_1,Visa,Pending,204.0
1139_1,Amex,Paid,195.0
1140_1,Amex,Pending,258.0
1141_1,Cash,Pending,228.0
1142_1,Cash,Paid,66.0
1143_1,Visa,Pending,140.0
1144_1,Amex,Paid,164.0
1145_1,Visa,Paid,332.0
1146_1,Visa,Pending,492.0
1147_1,MasterCard,Paid,222.0
1148_1,Cash,Paid,474.0
1149_1,Cash,Paid,372.0
1150_1,Cash,Pending,178.0
1151_1,Amex,Paid,365.0
1152_1,MasterCard,Paid,1210.0
1153_1,Cash,Pending,84.0
1154_1,Amex,Paid,132.0
1155_1,MasterCard,Pending,218.0
1156_1,Cash,Pending,137.0
1157_1,Cash,Pending,260.0
1158_1,Visa,Pending,512.0
1159_1,Cash,Pending,832.0
1160_1,MasterCard,Paid,655.0
1161_1,Cash,Paid,988.0
1162_1,MasterCard,Pending,600.0
1163_1,MasterCard,Paid,172.0
1164_1,Visa,Pending,292.0
1165_1,Cash,Paid,432.0
1166_1,Discover,Paid,678.0
1167_1,Amex,Pending,225.0
1168_1,Cash,Paid,90.0
1169_1,Discover,Pending,183.0
1170_1,Visa,Paid,984.0
1171_1,Cash,Pending,405.0
1172_1,Visa,Paid,630.0
1173_1,Discover,Paid,395.0
1174_1,Cash,Paid,560.0
1175_1,Visa,Pending,272.0
1176_1,MasterCard,Paid,426.0
1177_1,MasterCard,Pending,204.0
1178_1,Cash,Pending,146.0
1179_1,Cash,Pending,820.0
1180_1,Amex,Paid,350.0
1181_1,MasterCard,Pending,256.0
1182_1,Cash,Paid,69.0
1183_1,Cash,Pending,149.0
1184_1,Cash,Pending,132.0
1185_1,Amex,Pending,730.0
1186_1,Discover,Pending,222.0
1187_1,Discover,Paid,243.0
1188_1,Cash,Paid,79.0
1189_1,Visa,Pending,272.0
1190_1,MasterCard,Paid,280.0
1191_1,Visa,Paid,75.0
1192_1,Amex,Paid,1060.0
1193_1,Discover,Pending,186.0
1194_1,Visa,Paid,1010.0
1195_1,MasterCard,Pending,345.0
1196_1,Visa,Pending,812.0
1197_1,Discover,Paid,425.0
1198_1,Cash,Pending,121.0
1199_1,MasterCard,Pending,236.0
1200_1,MasterCard,Paid,84.0
1201_1,Visa,Paid,350.0
1202_1,Amex,Paid,1250.0
1203_1,Amex,Pending,266.0
1204_1,Amex,Paid,224.0
1205_1,Amex,Paid,432.0
1206_1,Cash,Paid,192.0
1207_1,Discover,Paid,244.0
1208_1,Visa,Pending,390.0
1209_1,Visa,Pending,350.0
1210_1,Cash,Paid,228.0
1211_1,Cash,Pending,216.0
1212_1,Visa,Paid,844.0
1213_1,Cash,Pending,717.0
1214_1,Amex,Paid,860.0
1215_1,Cash,Paid,1120.0
1216_1,MasterCard,Paid,420.0
1217_1,Amex,Paid,596.0
1218_1,Cash,Pending,225.0
1219_1,Visa,Paid,248.0
1220_1,Discover,Paid,375.0
1221_1,MasterCard,Pending,276.0
1222_1,Cash,Pending,146.0
1223_1,Amex,Pending,568.0
1224_1,Discover,Pending,154.0
1225_1,MasterCard,Pending,504.0
1226_1,Cash,Pending,276.0
1227_1,Amex,Pending,420.0
1228_1,Discover,Paid,1115.0
1229_1,Amex,Paid,145.0
1230_1,Amex,Pending,444.0
1231_1,MasterCard,Pending,584.0
1232_1,Amex,Pending,705.0
1233_1,MasterCard,Paid,152.0
1234_1,Amex,Pending,84.0
1235_1,Discover,Paid,454.0
1236_1,Amex,Pending,1035.0
1237_1,Discover,Paid,424.0
1238_1,Cash,Pending,675.0
1240_1,Amex,Pending,227.0
1241_1,Cash,Paid,312.0
1242_1,Amex,Paid,741.0
1243_1,Amex,Pending,147.0
1244_1,Cash,Pending,1055.0
1245_1,Discover,Paid,1055.0
1246_1,Cash,Pending,236.0
1247_1,MasterCard,Pending,592.0
1248_1,Cash,Pending,615.0
1249_1,Cash,Paid,186.0
1250_1,MasterCard,Paid,74.0
1251_1,Visa,Paid,75.0
1252_1,Cash,Pending,892.0
1253_1,Amex,Paid,436.0
1254_1,Cash,Pending,121.0
1255_1,Amex,Paid,300.0
1256_1,Cash,Paid,696.0
1257_1,MasterCard,Paid,685.0
1258_1,Discover,Pending,296.0
1259_1,Cash,Pending,250.0
1260_1,Amex,Paid,136.0
1261_1,Visa,Pending,750.0
1262_1,Visa,Pending,610.0
1263_1,Discover,Pending,247.0
1264_1,MasterCard,Paid,232.0
1265_1,Visa,Paid,596.0
1266_1,MasterCard,Pending,252.0
1267_1,Discover,Paid,132.0
1268_1,Visa,Paid,300.0
1269_1,Discover,Paid,208.0
1270_1,Amex,Paid,166.0
1271_1,Cash,Pending,378.0
1272_1,Discover,Pending,261.0
1273_1,Visa,Paid,482.0
1274_1,Discover,Pending,168.0
1275_1,MasterCard,Paid,588.0
1276_1,Discover,Pending,381.0
1277_1,MasterCard,Paid,274.0
1278_1,Cash,Paid,640.0
1279_1,Amex,Pending,416.0
1280_1,Visa,Pending,370.0
1281_1,Amex,Pending,204.0
1282_1,Discover,Pending,298.0
1283_1,Amex,Paid,300.0
1284_1,Amex,Paid,69.0
1285_1,Cash,Paid,144.0
1286_1,Visa,Paid,1165.0
1287_1,Cash,Pending,450.0
1288_1,Amex,Pending,350.0
1289_1,Visa,Paid,216.0
1290_1,Discover,Paid,292.0
1291_1,Visa,Paid,365.0
1292_1,Amex,Paid,237.0
1293_1,Amex,Paid,675.0
1294_1,Discover,Paid,150.0
1295_1,Visa,Pending,375.0
1296_1,Cash,Pending,702.0
1297_1,Amex,Pending,298.0
1298_1,Amex,Paid,492.0
1299_1,Cash,Paid,174.0
1301_1,Cash,Pending,705.0
1302_1,Visa,Pending,1130.0
1303_1,Discover,Paid,150.0
1304_1,Amex,Paid,186.0
1305_1,Cash,Paid,292.0
1306_1,Visa,Paid,240.0
1307_1,Amex,Paid,936.0
1309_1,Cash,Paid,162.0
1310_1,Cash,Pending,675.0
1311_1,MasterCard,Paid,960.0
1312_1,Discover,Pending,262.0
1314_1,Visa,Paid,639.0
1315_1,Amex,Pending,960.0
1316_1,Visa,Paid,216.0
1317_1,Discover,Paid,729.0
1318_1,Discover,Pending,266.0
1319_1,Discover,Pending,224.0
1320_1,Amex,Pending,948.0
1321_1,Visa,Paid,160.0
1322_1,Discover,Pending,812.0
1323_1,MasterCard,Pending,552.0
1324_1,Amex,Pending,276.0
1325_1,Cash,Pending,532.0
1326_1,Amex,Paid,248.0
1327_1,MasterCard,Paid,1125.0
1328_1,Discover,Paid,144.0
1329_1,Visa,Paid,125.0
1330_1,MasterCard,Pending,264.0
1331_1,Cash,Pending,669.0
1332_1,Amex,Paid,425.0
1333_1,Cash,Pending,62.0
1334_1,Visa,Pending,232.0
1335_1,MasterCard,Pending,240.0
1336_1,Cash,Paid,876.0
1337_1,Amex,Pending,136.0
1338_1,Amex,Pending,496.0
1339_1,MasterCard,Pending,812.0
1340_1,Visa,Paid,258.0
1341_1,Cash,Pending,186.0
1342_1,Discover,Paid,580.0
1343_1,Cash,Paid,234.0
1344_1,MasterCard,Pending,450.0
1345_1,Discover,Paid,536.0
1346_1,Amex,Paid,1035.0
1347_1,MasterCard,Pending,305.0
1348_1,Amex,Pending,234.0
1349_1,MasterCard,Pending,226.0
1350_1,Amex,Paid,135.0
1351_1,Cash,Pending,928.0
1352_1,Cash,Pending,260.0
1353_1,MasterCard,Paid,621.0
1354_1,MasterCard,Paid,148.0
1355_1,Cash,Paid,61.0
1356_1,Amex,Paid,68.0
1357_1,Visa,Paid,660.0
1358_1,Discover,Pending,228.0
1359_1,Cash,Paid,466.0
1361_1,Visa,Paid,74.0
1362_1,Cash,Pending,150.0
1363_1,Cash,Paid,429.0
1364_1,Discover,Paid,996.0
1365_1,Discover,Pending,912.0
1366_1,MasterCard,Paid,410.0
1367_1,Discover,Paid,145.0
1368_1,Visa,Pending,588.0
1369_1,Cash,Paid,940.0
1370_1,Discover,Paid,215.0
1371_1,Visa,Paid,500.0
1372_1,Visa,Paid,244.0
1373_1,MasterCard,Paid,123.0
1374_1,Visa,Pending,516.0
1375_1,Discover,Pending,324.0
1376_1,MasterCard,Paid,548.0
1377_1,Cash,Pending,556.0
1378_1,Visa,Pending,240.0
1379_1,Cash,Paid,908.0
1380_1,MasterCard,Pending,375.0
1381_1,Discover,Pending,458.0
1382_1,Cash,Pending,402.0
1383_1,Cash,Pending,820.0
1384_1,Discover,Pending,396.0
1385_1,MasterCard,Pending,435.0
1386_1,MasterCard,Paid,490.0
1387_1,Amex,Pending,144.0
1388_1,Cash,Paid,68.0
1389_1,Discover,Paid,615.0
1390_1,Discover,Paid,145.0
1391_1,Visa,Paid,464.0
1392_1,Visa,Paid,620.0
1393_1,Visa,Pending,447.0
1394_1,Cash,Paid,131.0
1395_1,Amex,Pending,984.0
1396_1,Cash,Paid,280.0
1397_1,Cash,Paid,681.0
1398_1,MasterCard,Pending,1090.0
1399_1,Visa,Paid,450.0
1400_1,Amex,Pending,438.0
1401_1,Amex,Pending,405.0
1402_1,Visa,Paid,84.0
1403_1,Discover,Paid,266.0
1404_1,Amex,Paid,444.0
1405_1,Discover,Pending,272.0
1406_1,Cash,Paid,1210.0
1407_1,Cash,Paid,136.0
1408_1,Discover,Pending,145.0
1409_1,Amex,Paid,246.0
1410_1,MasterCard,Pending,568.0
1411_1,MasterCard,Pending,231.0
1412_1,MasterCard,Paid,450.0
1413_1,Discover,Paid,166.0
1414_1,Visa,Paid,1145.0
1415_1,Visa,Paid,605.0
1416_1,MasterCard,Pending,426.0
1417_1,Cash,Pending,152.0
1419_1,Amex,Paid,240.0
1420_1,Cash,Pending,564.0
1421_1,Amex,Pending,665.0
1422_1,MasterCard,Pending,1240.0
1423_1,Cash,Paid,447.0
1424_1,MasterCard,Pending,168.0
1425_1,Cash,Pending,129.0
1426_1,MasterCard,Paid,536.0
1427_1,MasterCard,Pending,580.0
1428_1,Cash,Pending,176.0
1429_1,Discover,Paid,207.0
1430_1,Discover,Pending,400.0
1431_1,MasterCard,Pending,1115.0
1432_1,Cash,Pending,680.0
1433_1,Cash,Pending,207.0
1434_1,Cash,Pending,588.0
1435_1,MasterCard,Paid,384.0
1436_1,Amex,Pending,444.0
1437_1,Amex,Pending,840.0
1438_1,Amex,Pending,440.0
1439_1,Amex,Paid,988.0
1440_1,MasterCard,Paid,440.0
1441_1,Cash,Paid,120.0
1442_1,Visa,Pending,548.0
1443_1,Visa,Pending,568.0
1444_1,Discover,Pending,241.0
1445_1,Cash,Pending,198.0
1446_1,Visa,Pending,636.0
1447_1,Amex,Paid,705.0
1449_1,Visa,Paid,496.0
1450_1,Visa,Pending,138.0
1451_1,Cash,Pending,120.0
1452_1,MasterCard,Pending,218.0
1453_1,MasterCard,Pending,316.0
1454_1,MasterCard,Pending,740.0
1455_1,Visa,Pending,172.0
1456_1,Visa,Paid,145.0
1457_1,Cash,Pending,568.0
1458_1,Discover,Pending,588.0
1459_1,Amex,Paid,256.0
1460_1,Visa,Paid,460.0
1461_1,MasterCard,Pending,411.0
1462_1,Discover,Pending,85.0
1463_1,MasterCard,Pending,740.0
1464_1,Visa,Pending,675.0
1465_1,Amex,Pending,252.0
1466_1,Cash,Pending,350.0
1467_1,Cash,Pending,300.0
1468_1,MasterCard,Paid,82.0
1469_1,MasterCard,Pending,685.0
1470_1,Discover,Paid,298.0
1471_1,MasterCard,Paid,82.0
1472_1,Amex,Paid,1050.0
1473_1,Cash,Paid,610.0
1474_1,MasterCard,Pending,205.0
1475_1,Discover,Pending,438.0
1476_1,MasterCard,Paid,369.0
1477_1,MasterCard,Pending,240.0
1478_1,Discover,Paid,145.0
1479_1,MasterCard,Pending,264.0
1480_1,Cash,Pending,1195.0
1481_1,Visa,Paid,70.0
1482_1,Discover,Paid,432.0
1483_1,Amex,Pending,592.0
1485_1,MasterCard,Pending,696.0
1486_1,Discover,Paid,207.0
1487_1,Discover,Pending,203.0
1488_1,Amex,Pending,222.0
1490_1,Visa,Pending,1105.0
1491_1,Amex,Paid,240.0
1492_1,Discover,Paid,264.0
1493_1,Visa,Pending,444.0
1494_1,Cash,Paid,484.0
1495_1,Cash,Paid,202.0
1496_1,Cash,Paid,150.0
1497_1,Amex,Pending,61.0
1498_1,Visa,Paid,189.0
1500_1,Visa,Pending,410.0
1502_1,MasterCard,Pending,290.0
1503_1,Discover,Paid,230.0
1504_1,MasterCard,Paid,1095.0
1505_1,Discover,Pending,216.0
1506_1,Visa,Paid,410.0
1507_1,Amex,Paid,240.0
1508_1,Amex,Paid,128.0
1509_1,Discover,Paid,176.0
1510_1,Visa,Paid,609.0
1511_1,Discover,Paid,137.0
1512_1,MasterCard,Paid,880.0
1514_1,Amex,Pending,492.0
1515_1,Discover,Paid,180.0
1517_1,Cash,Pending,381.0
1518_1,Discover,Paid,450.0
1520_1,Discover,Paid,747.0
1521_1,Cash,Paid,576.0
1522_1,Amex,Pending,131.0
1523_1,Cash,Paid,669.0
1524_1,Cash,Paid,210.0
1525_1,Visa,Paid,160.0
1526_1,Amex,Paid,1180.0
1527_1,Cash,Paid,150.0
1528_1,Visa,Pending,650.0
1530_1,Discover,Pending,732.0
1531_1,MasterCard,Paid,70.0
1532_1,Discover,Paid,128.0
1534_1,Visa,Pending,150.0
1535_1,MasterCard,Pending,408.0
1536_1,Visa,Pending,666.0
1537_1,Discover,Paid,1110.0
1538_1,Visa,Pending,239.0
1539_1,Cash,Paid,222.0
1540_1,MasterCard,Paid,508.0
1542_1,Amex,Pending,245.0
1543_1,MasterCard,Pending,948.0
1544_1,Visa,Pending,605.0
1545_1,Cash,Paid,225.0
1546_1,MasterCard,Paid,308.0
1547_1,Cash,Pending,227.0
1548_1,Cash,Paid,627.0
1549_1,Cash,Pending,148.0
1550_1,Visa,Paid,395.0
1551_1,Discover,Pending,476.0
1552_1,Visa,Paid,228.0
1553_1,Cash,Pending,1125.0
1554_1,Cash,Paid,705.0
1555_1,Cash,Paid,77.0
1556_1,Visa,Pending,210.0
1557_1,Visa,Paid,1160.0
1558_1,Visa,Paid,272.0
1559_1,Cash,Paid,68.0
1560_1,Discover,Pending,800.0
1561_1,Cash,Paid,720.0
1562_1,Amex,Paid,916.0
1564_1,MasterCard,Paid,204.0
1565_1,Amex,Paid,512.0
1566_1,Discover,Paid,416.0
1567_1,Visa,Pending,635.0
1568_1,MasterCard,Pending,218.0
1569_1,Cash,Pending,149.0
1570_1,MasterCard,Paid,256.0
1571_1,MasterCard,Paid,615.0
1572_1,Amex,Paid,332.0
1573_1,Amex,Paid,420.0
1574_1,Discover,Pending,348.0
1575_1,Visa,Paid,138.0
1576_1,Amex,Paid,1005.0
1577_1,Discover,Paid,417.0
1578_1,Discover,Pending,121.0
1579_1,Discover,Pending,186.0
1580_1,Cash,Paid,387.0
1581_1,Amex,Pending,735.0
1582_1,Amex,Paid,693.0
1583_1,MasterCard,Paid,268.0
1584_1,Visa,Pending,81.0
1585_1,Discover,Paid,635.0
1586_1,Visa,Pending,143.0
1587_1,Visa,Paid,335.0
1588_1,Discover,Paid,1055.0
1589_1,MasterCard,Pending,720.0
1590_1,Visa,Paid,402.0
1591_1,Cash,Paid,576.0
1593_1,MasterCard,Paid,216.0
1594_1,Cash,Paid,296.0
1595_1,Visa,Paid,132.0
1597_1,Amex,Paid,254.0
1598_1,Visa,Pending,516.0
1599_1,Visa,Pending,258.0
1601_1,Discover,Pending,441.0
1602_1,Visa,Pending,258.0
1603_1,Visa,Paid,380.0
1604_1,Cash,Pending,723.0
1605_1,MasterCard,Paid,920.0
1606_1,Discover,Pending,298.0
1607_1,Amex,Pending,1010.0
1608_1,Amex,Paid,552.0
1609_1,Visa,Paid,71.0
1610_1,Visa,Pending,308.0
1611_1,Discover,Paid,146.0
1612_1,Amex,Pending,496.0
1613_1,Visa,Pending,183.0
1616_1,Discover,Paid,378.0
1617_1,Amex,Pending,702.0
1618_1,Visa,Paid,375.0
1619_1,Visa,Paid,160.0
1620_1,Cash,Paid,552.0
1621_1,Discover,Pending,924.0
1623_1,Discover,Paid,310.0
1624_1,Cash,Pending,210.0
1625_1,Discover,Pending,296.0
1626_1,Discover,Pending,988.0
1627_1,Visa,Paid,1010.0
1628_1,Discover,Pending,340.0
1629_1,Cash,Paid,178.0
1630_1,Discover,Paid,494.0
1631_1,MasterCard,Pending,750.0
1632_1,Amex,Paid,429.0
1633_1,MasterCard,Pending,426.0
1634_1,MasterCard,Pending,262.0
1635_1,Cash,Paid,700.0
1636_1,Amex,Paid,73.0
1637_1,MasterCard,Paid,325.0
1639_1,Visa,Paid,408.0
1640_1,Amex,Paid,609.0
1641_1,Cash,Paid,606.0
1642_1,Visa,Pending,640.0
1643_1,Discover,Pending,66.0
1644_1,Discover,Pending,146.0
1645_1,Visa,Pending,135.0
1647_1,Cash,Paid,267.0
1648_1,Discover,Pending,141.0
1649_1,Amex,Pending,417.0
1650_1,Discover,Paid,170.0
1651_1,Cash,Paid,278.0
1652_1,Discover,Paid,276.0
1653_1,MasterCard,Pending,486.0
1655_1,Cash,Pending,65.0
1656_1,Discover,Pending,65.0
1657_1,Cash,Paid,223.0
1659_1,Amex,Paid,237.0
1660_1,MasterCard,Paid,216.0
1661_1,Amex,Paid,213.0
1662_1,Visa,Pending,1060.0
1663_1,MasterCard,Paid,296.0
1664_1,MasterCard,Pending,324.0
1665_1,Visa,Paid,71.0
1666_1,Discover,Paid,984.0
1667_1,Discover,Paid,474.0
1669_1,Cash,Pending,450.0
1670_1,Amex,Pending,710.0
1671_1,Visa,Pending,232.0
1672_1,MasterCard,Paid,684.0
1673_1,MasterCard,Pending,402.0
1674_1,Cash,Pending,252.0
1675_1,Discover,Paid,278.0
1676_1,Visa,Pending,242.0
1677_1,Amex,Paid,176.0
1678_1,Visa,Pending,1070.0
1679_1,Amex,Pending,620.0
1680_1,Discover,Pending,282.0
1682_1,Cash,Pending,247.0
1683_1,Discover,Pending,1185.0
1684_1,Visa,Paid,414.0
1685_1,Amex,Pending,70.0
1686_1,Amex,Paid,450.0
1687_1,Cash,Paid,504.0
1689_1,Visa,Paid,369.0
1690_1,Visa,Paid,231.0
1691_1,Amex,Pending,296.0
1692_1,Discover,Paid,410.0
1693_1,MasterCard,Paid,556.0
1694_1,Cash,Pending,932.0
1695_1,Amex,Paid,143.0
1696_1,Amex,Pending,369.0
1697_1,Visa,Pending,1110.0
1698_1,Discover,Paid,588.0
1699_1,Cash,Paid,324.0
1700_1,Amex,Pending,305.0
1701_1,Cash,Paid,74.0
1703_1,Discover,Paid,976.0
1704_1,Cash,Pending,1025.0
1705_1,Amex,Pending,738.0
1706_1,Amex,Pending,381.0
1707_1,Cash,Paid,219.0
1709_1,Discover,Pending,666.0
1710_1,Discover,Paid,408.0
1711_1,Cash,Pending,128.0
1712_1,Discover,Pending,452.0
1713_1,Visa,Paid,426.0
1714_1,Amex,Paid,130.0
1715_1,Discover,Paid,260.0
1716_1,Visa,Pending,672.0
1717_1,Cash,Pending,244.0
1718_1,Visa,Paid,588.0
1719_1,Cash,Pending,249.0
1721_1,Amex,Paid,138.0
1722_1,Visa,Paid,466.0
1723_1,Amex,Pending,145.0
1724_1,Cash,Pending,552.0
1725_1,Cash,Paid,170.0
1726_1,MasterCard,Paid,450.0
1727_1,Visa,Pending,237.0
1728_1,Cash,Paid,600.0
1729_1,Amex,Pending,348.0
1730_1,Amex,Paid,280.0
1731_1,Discover,Paid,268.0
1732_1,MasterCard,Paid,432.0
1733_1,MasterCard,Pending,180.0
1734_1,Discover,Paid,600.0
1735_1,Visa,Pending,250.0
1736_1,Discover,Paid,435.0
1737_1,Discover,Paid,300.0
1738_1,Discover,Paid,904.0
1739_1,Amex,Pending,948.0
1740_1,Visa,Pending,144.0
1741_1,Amex,Pending,747.0
1742_1,MasterCard,Pending,370.0
1743_1,Cash,Pending,1105.0
1744_1,Visa,Pending,369.0
1745_1,MasterCard,Paid,665.0
1746_1,Cash,Paid,1130.0
1748_1,Amex,Pending,381.0
1749_1,Discover,Paid,246.0
1750_1,Visa,Pending,745.0
1751_1,Cash,Paid,280.0
1752_1,Cash,Pending,572.0
1753_1,Amex,Paid,411.0
1754_1,Cash,Paid,236.0
1755_1,Visa,Pending,892.0
1756_1,Cash,Paid,738.0
1757_1,MasterCard,Pending,213.0
1758_1,MasterCard,Paid,174.0
1759_1,Visa,Pending,166.0
1760_1,MasterCard,Paid,276.0
1761_1,Visa,Paid,162.0
1762_1,Visa,Paid,170.0
1763_1,Amex,Pending,420.0
1764_1,Cash,Pending,655.0
1765_1,Amex,Paid,672.0
1768_1,MasterCard,Paid,1085.0
1769_1,MasterCard,Paid,128.0
1770_1,Visa,Paid,1130.0
1771_1,Cash,Paid,77.0
1772_1,Cash,Paid,615.0
1773_1,Cash,Pending,492.0
1774_1,Cash,Pending,296.0
1775_1,Amex,Pending,138.0
1776_1,Discover,Paid,144.0
1777_1,Visa,Pending,123.0
1778_1,MasterCard,Pending,176.0
1779_1,Cash,Pending,627.0
1780_1,Cash,Paid,1105.0
1781_1,Visa,Paid,596.0
1782_1,Visa,Pending,630.0
1783_1,Visa,Paid,300.0
1784_1,MasterCard,Pending,848.0
1785_1,Cash,Paid,266.0
1786_1,Visa,Paid,240.0
1787_1,Cash,Pending,67.0
1788_1,Visa,Pending,420.0
1789_1,Amex,Paid,122.0
1790_1,Visa,Paid,556.0
1792_1,MasterCard,Paid,176.0
1793_1,Visa,Pending,615.0
1794_1,Discover,Paid,660.0
1795_1,Cash,Pending,610.0
1796_1,Discover,Paid,150.0
1797_1,Amex,Pending,149.0
1798_1,Cash,Paid,243.0
1799_1,Cash,Pending,435.0
1800_1,Cash,Paid,1020.0
1801_1,Visa,Paid,207.0
1802_1,MasterCard,Paid,172.0
1803_1,MasterCard,Paid,276.0
1805_1,Visa,Pending,964.0
1806_1,Cash,Paid,68.0
1807_1,Amex,Paid,122.0
1808_1,Visa,Paid,278.0
1809_1,Discover,Pending,79.0
1810_1,MasterCard,Paid,690.0
1811_1,Discover,Pending,82.0
1812_1,Amex,Paid,1155.0
1813_1,Amex,Pending,912.0
1814_1,Cash,Paid,428.0
1815_1,Discover,Paid,268.0
1816_1,Discover,Paid,61.0
1817_1,Cash,Paid,528.0
1818_1,Amex,Pending,228.0
1819_1,MasterCard,Paid,500.0
1820_1,Cash,Pending,1125.0
1821_1,Visa,Paid,696.0
1822_1,Visa,Pending,466.0
1823_1,Visa,Pending,324.0
1824_1,Discover,Pending,603.0
1825_1,Amex,Paid,132.0
1826_1,Amex,Paid,270.0
1827_1,Cash,Paid,258.0
1828_1,Discover,Paid,120.0
1829_1,Discover,Pending,592.0
1830_1,Cash,Pending,270.0
1831_1,MasterCard,Pending,76.0
1833_1,MasterCard,Pending,62.0
1834_1,MasterCard,Paid,270.0
1835_1,Cash,Pending,77.0
1837_1,Amex,Pending,315.0
1838_1,Visa,Paid,336.0
1839_1,Cash,Pending,61.0
1840_1,MasterCard,Pending,324.0
1841_1,Visa,Paid,411.0
1842_1,MasterCard,Pending,158.0
